athlete_id,first,last,gender,event_group,tfrrs_url
71,Ella,Laughbaum,W,jumps,https://www.tfrrs.org/athletes/8329633/Milwaukee/Ella_Laughbaum.html
72,Vanessa,Laundrie,W,sprints,https://www.tfrrs.org/athletes/7712287/Milwaukee/Vanessa_Laundrie.html
73,Nevia,Levenhagen,W,jumps,https://www.tfrrs.org/athletes/8997153/Milwaukee/Nevia_Levenhagen_.html
74,Lauren,Lietzke,W,throws,https://www.tfrrs.org/athletes/7033464/Milwaukee/Lauren_Lietzke.html
75,Alexander,Maggit,M,jumps,https://www.tfrrs.org/athletes/8690912/Milwaukee/Alexander_Maggit.html
76,Tim,Maidment,M,jumps,https://www.tfrrs.org/athletes/8329555/Milwaukee/Tim_Maidment.html
77,Kynnedi,Malone,W,sprints,https://www.tfrrs.org/athletes/8690934/Milwaukee/Kynnedi_Malone.html
78,Ben,Marano,M,sprints,https://www.tfrrs.org/athletes/7751938/Milwaukee/Ben_Marano.html
79,Maddie,Martin,W,sprints,https://www.tfrrs.org/athletes/6589877/Milwaukee/Maddie_Martin.html
80,Drew,McCormick,M,multi,https://www.tfrrs.org/athletes/6589842/Milwaukee/Drew_McCormick.html
81,Bryant,McLaughlin,M,jumps,https://www.tfrrs.org/athletes/8016721/Milwaukee/Bryant_McLaughlin.html
82,Kara,Meeteer,W,multi,https://www.tfrrs.org/athletes/9265425/Milwaukee/Kara_Meeteer.html
83,Ashley,Melvin,W,jumps,https://www.tfrrs.org/athletes/6116626/Milwaukee/Ashley_Melvin.html
84,Michelle,Meyer,W,sprints,https://www.tfrrs.org/athletes/6589878/Milwaukee/Michelle_Meyer.html
85,Jack,Misky,M,multi,https://www.tfrrs.org/athletes/8016722/Milwaukee/Jack_Misky.html
86,Ethan,Mitchell,M,jumps,https://www.tfrrs.org/athletes/8997144/Milwaukee/Ethan_Mitchell_.html
87,Destiny,Mitchell,W,sprints,
88,Will,Mortimer,M,jumps,https://www.tfrrs.org/athletes/7531555/Milwaukee/Will_Mortimer.html
89,Mercy,Ndon,W,sprints,https://www.tfrrs.org/athletes/6116628/Milwaukee/Mercy_Ndon.html
90,Dane,Nelson,M,sprints,https://www.tfrrs.org/athletes/7712274/Milwaukee/Dane_Nelson.html
91,Nick,O'Halloran,M,multi,https://www.tfrrs.org/athletes/8997145/Milwaukee/Nick_O'Halloran.html
92,Trent,Oiler,M,multi,https://www.tfrrs.org/athletes/9265412/Milwaukee/Trent_Oiler.html
93,Olu,Olu-Akintomide,M,jumps,https://www.tfrrs.org/athletes/9265413/Milwaukee/Olu_Olu-Akintomide.html
94,Kathryn,Pecha,W,sprints,https://www.tfrrs.org/athletes/6589879/Milwaukee/Kathryn_Pecha.html
95,Morgan,Pilate,W,jumps,https://www.tfrrs.org/athletes/8016731/Milwaukee/Morgan_Pilate.html
96,Adaline,Powell,W,multi,https://www.tfrrs.org/athletes/7712288/Milwaukee/Adaline_Powell.html
97,Luke,Rapisarda,M,sprints,https://www.tfrrs.org/athletes/7033455/Milwaukee/Luke_Rapisarda.html
98,Jaelyn,Reeves-Lile,M,sprints,https://www.tfrrs.org/athletes/8690913/Milwaukee/Jaelyn_Reeves-Lile.html
99,Angelica,Refinski,W,sprints,https://www.tfrrs.org/athletes/8690929/Milwaukee/Angelica_Refinski.html
100,Liam,Richards,M,multi,https://www.tfrrs.org/athletes/8690914/Milwaukee/Liam_Richards.html
101,Caleb,Rogalski,M,throws,https://www.tfrrs.org/athletes/7033456/Milwaukee/Caleb_Rogalski.html
102,Isabel,Roloff,W,jumps,https://www.tfrrs.org/athletes/8329637/Milwaukee/Isabel_Roloff.html
103,Joe,Salamone,M,sprints,https://www.tfrrs.org/athletes/7712270/Milwaukee/Joe_Salamone.html
104,Samantha,Satterfield,W,throws,https://www.tfrrs.org/athletes/7712289/Milwaukee/Samantha_Satterfield.html
105,Matt,Scardina,M,sprints,https://www.tfrrs.org/athletes/9265414/Milwaukee/Matt_Scardina.html
106,Kieran,Schindler,M,sprints,https://www.tfrrs.org/athletes/8997146/Milwaukee/Kieran_Schindler.html
107,Zachary,Schmidt,M,sprints,https://www.tfrrs.org/athletes/8329556/Milwaukee/Zachary_Schmidt.html
108,Zachary,Schmidt,M,sprints,https://www.tfrrs.org/athletes/8329556/Milwaukee/Zachary_Schmidt.html
109,Jada,Schuh,W,multi,https://www.tfrrs.org/athletes/7033465/Milwaukee/Jada_Schuh.html
