first,last,meet_name,meet_date,event,result,wind,feet
Adaline,Powell,Joyce Morton-Kief Invite,"Mar 27-28, 2026",TJ,10.77m,(1.3),"35' 4"""
Adaline,Powell,2026 Horizon League Indoor Track & Field Championship,"Feb 28-Mar  1, 2026",TJ,11.32m,,"37' 1.75"""
Adaline,Powell,Panther Tune-up,"Feb 21, 2026",TJ,11.49m,,"37' 8.5"""
Adaline,Powell,Iowa State Classic,"Feb  6, 2026",TJ,10.72m,,"35' 2"""
Adaline,Powell,Tierney Classic,"Jan 18, 2026",TJ,11.22m,,"36' 9.75"""
Adaline,Powell,UW-La Crosse Eagle Open,"May 10, 2024",TJ,11.89m,(0.1),"39' 0.25"""
Adaline,Powell,2024 Horizon League Outdoor Track & Field Championship,"May  3- 5, 2024",TJ,11.58m,(1.7),"38' 0"""
Adaline,Powell,Clark Wood Open 2024,"Apr 26-27, 2024",TJ,11.75m,(2.4),"38' 6.75"""
Adaline,Powell,Gibson Invitational,"Apr 18-20, 2024",TJ,11.63m,(1.8),"38' 2"""
Adaline,Powell,2024 Bryan Clay Invitational,"Apr 11-13, 2024",TJ,11.67m,(+0.0),"38' 3.5"""
Adaline,Powell,Golden Grizzly T&F Invite,"Apr  6, 2024",LJ,5.11m,(4.0),"16' 9.25"""
Adaline,Powell,Golden Grizzly T&F Invite,"Apr  6, 2024",TJ,FOUL,,NM
Adaline,Powell,Raleigh Relays,"Mar 28-30, 2024",TJ,12.09m,(0.5),"39' 8"""
Adaline,Powell,Horizon League Indoor Track & Field Championship,"Feb 24-25, 2024",LJ,5.41m,,"17' 9"""
Adaline,Powell,Horizon League Indoor Track & Field Championship,"Feb 24-25, 2024",TJ,11.98m,,"39' 3.75"""
Adaline,Powell,PANTHER TUNE-UP,"Feb 17, 2024",LJ,5.38m,,"17' 8"""
Adaline,Powell,PANTHER TUNE-UP,"Feb 17, 2024",TJ,12.32m,,"40' 5"""
Adaline,Powell,Mark Guthrie Legacy Invite,"Feb  3, 2024",TJ,11.35m,,"37' 3"""
Adaline,Powell,Illini Challenge,"Jan 26-27, 2024",LJ,5.30m,,"17' 4.75"""
Adaline,Powell,Illini Challenge,"Jan 26-27, 2024",TJ,11.98m,,"39' 3.75"""
Adaline,Powell,John Tierney Classic,"Jan 20, 2024",LJ,5.25m,,"17' 2.75"""
Adaline,Powell,John Tierney Classic,"Jan 20, 2024",TJ,12.16m,,"39' 10.75"""
Adaline,Powell,Illini Open,"Jan  6, 2024",TJ,11.86m,,"38' 11"""
Adaline,Powell,2023 Blue Demon Holiday Invite,"Dec  8, 2023",TJ,11.95m,,"39' 2.5"""
Adaline,Powell,Eagle Open,"May 12, 2023",TJ,12.12m,(2.2),"39' 9.25"""
Adaline,Powell,Horizon League Championship,"May  5- 7, 2023",TJ,12.11m,(+0.0),"39' 8.75"""
Adaline,Powell,Clark Wood Open 2023,"Apr 28-29, 2023",TJ,12.46m,(1.3),"40' 10.5"""
Adaline,Powell,Gary Wieneke Memorial,"Apr 21-22, 2023",TJ,FOUL,,NM
Adaline,Powell,Gibson Invitational & Multis,"Apr 13-15, 2023",TJ,12.22m,(-0.5),"40' 1.25"""
Adaline,Powell,Fighting Illini Challenge,"Apr  8, 2023",TJ,11.34m,(2.0),"37' 2.5"""
Adaline,Powell,Fighting Illini Challenge,"Apr  8, 2023",JT,24.49m,,"80' 4"""
Adaline,Powell,Warrior Invitational,"Apr  6, 2023",JT,25.54m,,"83' 9"""
Adaline,Powell,2023 Horizon League Indoor Track & Field Championship,"Feb 25-26, 2023",TJ,11.94m,,"39' 2.25"""
Adaline,Powell,Mark Guthrie Legacy Invitational,"Feb  4, 2023",TJ,11.52m,,"37' 9.5"""
Adaline,Powell,Jack Johnson Classic,"Jan 27-28, 2023",TJ,11.78m,,"38' 7.75"""
Adaline,Powell,John Tierney Classic,"Jan 21, 2023",TJ,11.79m,,"38' 8.25"""
Adaline,Powell,Wisconsin Badgers Midwest Invite,"Jan 14, 2023",TJ,11.33m,,"37' 2.25"""
Adaline,Powell,2022 Blue Demon Holiday Invite,"Dec  9, 2022",TJ,11.68m,,"38' 4"""
Adaline,Powell,Horizon League Indoor Track & Field Championships,"Feb 26-Mar  1, 2021",TJ,11.10m,,"36' 5"""
Adaline,Powell,Horizon League Indoor Track & Field Championships,"Feb 26-Mar  1, 2021",Pent,2897,,
Adaline,Powell,Horizon League Indoor Track & Field Championships,"Feb 26-Mar  1, 2021",60H,9.43,,
Adaline,Powell,Horizon League Indoor Track & Field Championships,"Feb 26-Mar  1, 2021",HJ,1.42m,,"4' 7.75"""
Adaline,Powell,Horizon League Indoor Track & Field Championships,"Feb 26-Mar  1, 2021",SP,9.68m,,"31' 9.25"""
Adaline,Powell,Horizon League Indoor Track & Field Championships,"Feb 26-Mar  1, 2021",LJ,4.94m,,"16' 2.5"""
Adaline,Powell,Horizon League Indoor Track & Field Championships,"Feb 26-Mar  1, 2021",800,2:47.60,,
Adaline,Powell,UW-Parkside Triangular,"Feb 19-20, 2021",55H,8.74,,
Adaline,Powell,UW-Parkside Triangular,"Feb 19-20, 2021",HJ,1.40m,,"4' 7"""
Adaline,Powell,Panther Tune-Up,"Feb 14, 2021",60H,10.06,,
Adaline,Powell,Panther Tune-Up,"Feb 14, 2021",TJ,11.24m,,"36' 10.5"""
Adaline,Powell,UW-Parkside Triangular,"Feb  5- 6, 2021",Pent,2644,,
Adaline,Powell,UW-Parkside Triangular,"Feb  5- 6, 2021",55H,8.91,,
Adaline,Powell,UW-Parkside Triangular,"Feb  5- 6, 2021",HJ,1.31m,,"4' 3.5"""
Adaline,Powell,UW-Parkside Triangular,"Feb  5- 6, 2021",SP,8.87m,,"29' 1.25"""
Adaline,Powell,UW-Parkside Triangular,"Feb  5- 6, 2021",LJ,4.90m,,"16' 1"""
Adaline,Powell,UW-Parkside Triangular,"Feb  5- 6, 2021",800,2:51.80,,
Adaline,Powell,John Tierney Classic,"Jan 23, 2021",60H,9.45,,
Adaline,Powell,John Tierney Classic,"Jan 23, 2021",HJ,NH,,NH
Adaline,Powell,John Tierney Classic,"Jan 23, 2021",TJ,11.29m,,"37' 0.5"""
Adaline,Powell,The Panther Invite,"Jan  9, 2021",60H,9.93,,
Adaline,Powell,The Panther Invite,"Jan  9, 2021",60H,9.77,,
Adaline,Powell,The Panther Invite,"Jan  9, 2021",TJ,11.18m,,"36' 8.25"""
Natalie,Block,Raleigh Relays,"Mar 26-28, 2026",100H,13.45,(-0.4),
Natalie,Block,Raleigh Relays,"Mar 26-28, 2026",400H,56.27,,
Natalie,Block,NCAA Division I Outdoor Track & Field Championships,"Jun 11-14, 2025",400H,56.92,,
Natalie,Block,NCAA Division I West First Round,"May 28-31, 2025",100H,13.21,(1.3),
Natalie,Block,NCAA Division I West First Round,"May 28-31, 2025",100H,13.31,(0.3),
Natalie,Block,NCAA Division I West First Round,"May 28-31, 2025",400H,56.95,,
Natalie,Block,NCAA Division I West First Round,"May 28-31, 2025",400H,57.46,,
Natalie,Block,Horizon League Championship,"May  9-11, 2025",100H,13.16,(2.4),
Natalie,Block,Horizon League Championship,"May  9-11, 2025",100H,13.21,(1.5),
Natalie,Block,Horizon League Championship,"May  9-11, 2025",400H,57.86,,
Natalie,Block,Horizon League Championship,"May  9-11, 2025",400H,57.71,,
Natalie,Block,Jim Green Invitational,"May  2- 3, 2025",100H,13.54,(-0.6),
Natalie,Block,Jim Green Invitational,"May  2- 3, 2025",100H,13.59,(1.4),
Natalie,Block,Jim Green Invitational,"May  2- 3, 2025",400H,57.85,,
Natalie,Block,Fighting Illini Twilight,"Apr 26, 2025",100H,13.73,(3.2),
Natalie,Block,Fighting Illini Twilight,"Apr 26, 2025",400H,58.71,,
Natalie,Block,UW-Whitewater Drake Alternative,"Apr 24, 2025",400H,58.46,,
Natalie,Block,Gibson Invitational,"Apr 17-19, 2025",100H,13.68,(0.1),
Natalie,Block,Duke Invitational,"Apr 10-12, 2025",400H,57.84,,
Natalie,Block,NCAA West First Round,"May 22-25, 2024",100H,13.22,(2.5),
Natalie,Block,NCAA West First Round,"May 22-25, 2024",100H,13.23,(1.0),
Natalie,Block,NCAA West First Round,"May 22-25, 2024",400H,57.02,,
Natalie,Block,NCAA West First Round,"May 22-25, 2024",400H,57.90,,
Natalie,Block,UW-La Crosse Eagle Open,"May 10, 2024",100H,13.28,(1.2),
Natalie,Block,UW-La Crosse Eagle Open,"May 10, 2024",100H,13.42,(-0.3),
Natalie,Block,2024 Horizon League Outdoor Track & Field Championship,"May  3- 5, 2024",100H,13.27,(2.4),
Natalie,Block,2024 Horizon League Outdoor Track & Field Championship,"May  3- 5, 2024",100H,13.38,(0.7),
Natalie,Block,2024 Horizon League Outdoor Track & Field Championship,"May  3- 5, 2024",400H,57.51,,
Natalie,Block,2024 Horizon League Outdoor Track & Field Championship,"May  3- 5, 2024",400H,58.08,,
Natalie,Block,Clark Wood Open 2024,"Apr 26-27, 2024",100H,13.14,(2.4),
Natalie,Block,Clark Wood Open 2024,"Apr 26-27, 2024",100H,13.33,(1.9),
Natalie,Block,Clark Wood Open 2024,"Apr 26-27, 2024",400H,57.68,,
Natalie,Block,Gibson Invitational,"Apr 18-20, 2024",100H,13.44,(1.2),
Natalie,Block,Gibson Invitational,"Apr 18-20, 2024",400H,58.34,,
Natalie,Block,2024 Bryan Clay Invitational,"Apr 11-13, 2024",100H,13.52,(-1.8),
Natalie,Block,2024 Bryan Clay Invitational,"Apr 11-13, 2024",400H,58.67,,
Natalie,Block,Golden Grizzly T&F Invite,"Apr  6, 2024",100H,13.54,(2.6),
Natalie,Block,Golden Grizzly T&F Invite,"Apr  6, 2024",100H,13.60,(2.3),
Natalie,Block,Golden Grizzly T&F Invite,"Apr  6, 2024",400H,59.13,,
Natalie,Block,Raleigh Relays,"Mar 28-30, 2024",100H,13.29,(2.1),
Natalie,Block,Horizon League Indoor Track & Field Championship,"Feb 24-25, 2024",400,55.08,,
Natalie,Block,Horizon League Indoor Track & Field Championship,"Feb 24-25, 2024",400,55.81,,
Natalie,Block,Horizon League Indoor Track & Field Championship,"Feb 24-25, 2024",60H,8.34,,
Natalie,Block,Horizon League Indoor Track & Field Championship,"Feb 24-25, 2024",60H,8.26,,
Natalie,Block,Arkansas Qualifier,"Feb 16, 2024",60H,8.27,,
Natalie,Block,Arkansas Qualifier,"Feb 16, 2024",60H,8.43,,
Natalie,Block,GVSU Big Meet- (Friday),"Feb  9, 2024",400,54.58,,
Natalie,Block,GVSU Big Meet- (Friday),"Feb  9, 2024",60H,8.22,,
Natalie,Block,GVSU Big Meet- (Friday),"Feb  9, 2024",60H,8.27,,
Natalie,Block,Mark Guthrie Legacy Invite,"Feb  3, 2024",60H,8.31,,
Natalie,Block,Mark Guthrie Legacy Invite,"Feb  3, 2024",60H,8.25,,
Natalie,Block,Illini Challenge,"Jan 26-27, 2024",400,55.95,,
Natalie,Block,Illini Challenge,"Jan 26-27, 2024",60H,8.29,,
Natalie,Block,Illini Challenge,"Jan 26-27, 2024",60H,8.32,,
Natalie,Block,John Tierney Classic,"Jan 20, 2024",60H,8.25,,
Natalie,Block,John Tierney Classic,"Jan 20, 2024",60H,8.29,,
Natalie,Block,Badgers Midwest Invite,"Jan 13, 2024",300,38.52,,
Natalie,Block,Badgers Midwest Invite,"Jan 13, 2024",60H,8.31,,
Natalie,Block,Badgers Midwest Invite,"Jan 13, 2024",60H,8.37,,
Natalie,Block,Illini Open,"Jan  6, 2024",60H,8.44,,
Natalie,Block,2023 Blue Demon Holiday Invite,"Dec  8, 2023",200,24.83,,
Natalie,Block,2023 Blue Demon Holiday Invite,"Dec  8, 2023",60H,8.46,,
Natalie,Block,2023 Blue Demon Holiday Invite,"Dec  8, 2023",60H,8.44,,
Natalie,Block,2023 Horizon League Indoor Track & Field Championship,"Feb 25-26, 2023",400,56.54,,
Natalie,Block,2023 Horizon League Indoor Track & Field Championship,"Feb 25-26, 2023",400,57.81,,
Natalie,Block,2023 Horizon League Indoor Track & Field Championship,"Feb 25-26, 2023",60H,8.33,,
Natalie,Block,2023 Horizon League Indoor Track & Field Championship,"Feb 25-26, 2023",60H,8.50,,
Natalie,Block,2023 Horizon League Indoor Track & Field Championship,"Feb 25-26, 2023",4x400,3:54.28,,
Natalie,Block,2023 Horizon League Indoor Track & Field Championship,"Feb 25-26, 2023",LJ,5.44m,,"17' 10.25"""
Natalie,Block,2023 Horizon League Indoor Track & Field Championship,"Feb 25-26, 2023",Pent,3669,,
Natalie,Block,2023 Horizon League Indoor Track & Field Championship,"Feb 25-26, 2023",60H,8.55,,
Natalie,Block,2023 Horizon League Indoor Track & Field Championship,"Feb 25-26, 2023",HJ,1.53m,,"5' 0.25"""
Natalie,Block,2023 Horizon League Indoor Track & Field Championship,"Feb 25-26, 2023",SP,10.07m,,"33' 0.5"""
Natalie,Block,2023 Horizon League Indoor Track & Field Championship,"Feb 25-26, 2023",LJ,5.36m,,"17' 7"""
Natalie,Block,2023 Horizon League Indoor Track & Field Championship,"Feb 25-26, 2023",800,2:20.69,,
Natalie,Block,Panther Tune-Up,"Feb 18, 2023",60H,8.43,,
Natalie,Block,Panther Tune-Up,"Feb 18, 2023",60H,8.38,,
Natalie,Block,Panther Tune-Up,"Feb 18, 2023",HJ,1.55m,,"5' 1"""
Natalie,Block,Panther Tune-Up,"Feb 18, 2023",SP,9.81m,,"32' 2.25"""
Natalie,Block,GVSU Big Meet (Friday),"Feb 10, 2023",200,24.57,,
Natalie,Block,GVSU Big Meet (Friday),"Feb 10, 2023",400,55.30,,
Natalie,Block,GVSU Big Meet (Friday),"Feb 10, 2023",60H,8.47,,
Natalie,Block,GVSU Big Meet (Friday),"Feb 10, 2023",60H,8.44,,
Natalie,Block,GVSU Big Meet (Friday),"Feb 10, 2023",HJ,1.53m,,"5' 0.25"""
Natalie,Block,Mark Guthrie Legacy Invitational,"Feb  4, 2023",200,24.93,,
Natalie,Block,Mark Guthrie Legacy Invitational,"Feb  4, 2023",60H,8.43,,
Natalie,Block,Mark Guthrie Legacy Invitational,"Feb  4, 2023",60H,8.45,,
Natalie,Block,Jack Johnson Classic,"Jan 27-28, 2023",60H,8.44,,
Natalie,Block,Jack Johnson Classic,"Jan 27-28, 2023",60H,8.50,,
Natalie,Block,Jack Johnson Classic,"Jan 27-28, 2023",Pent,3580,,
Natalie,Block,Jack Johnson Classic,"Jan 27-28, 2023",60H,8.45,,
Natalie,Block,Jack Johnson Classic,"Jan 27-28, 2023",HJ,1.45m,,"4' 9"""
Natalie,Block,Jack Johnson Classic,"Jan 27-28, 2023",SP,9.08m,,"29' 9.5"""
Natalie,Block,Jack Johnson Classic,"Jan 27-28, 2023",LJ,5.55m,,"18' 2.5"""
Natalie,Block,Jack Johnson Classic,"Jan 27-28, 2023",800,2:21.56,,
Natalie,Block,John Tierney Classic,"Jan 21, 2023",60H,8.50,,
Natalie,Block,John Tierney Classic,"Jan 21, 2023",60H,8.49,,
Natalie,Block,John Tierney Classic,"Jan 21, 2023",LJ,5.83m,,"19' 1.5"""
Natalie,Block,John Tierney Classic,"Jan 21, 2023",SP,10.50m,,"34' 5.5"""
Natalie,Block,Wisconsin Badgers Midwest Invite,"Jan 14, 2023",300,38.67,,
Natalie,Block,Wisconsin Badgers Midwest Invite,"Jan 14, 2023",60H,8.45,,
Natalie,Block,Wisconsin Badgers Midwest Invite,"Jan 14, 2023",60H,8.50,,
Natalie,Block,Wisconsin Badgers Midwest Invite,"Jan 14, 2023",HJ,1.51m,,"4' 11.5"""
Natalie,Block,44 Farms Team Invitational,"Apr  8- 9, 2022",400H,59.94,,
Natalie,Block,44 Farms Team Invitational,"Apr  8- 9, 2022",Hep,4898,,
Natalie,Block,44 Farms Team Invitational,"Apr  8- 9, 2022",100H,13.66,(3.2),
Natalie,Block,44 Farms Team Invitational,"Apr  8- 9, 2022",HJ,1.54m,,"5' 0.5"""
Natalie,Block,44 Farms Team Invitational,"Apr  8- 9, 2022",SP,8.57m,,"28' 1.5"""
Natalie,Block,44 Farms Team Invitational,"Apr  8- 9, 2022",200,24.36,(4.9),
Natalie,Block,44 Farms Team Invitational,"Apr  8- 9, 2022",LJ,5.38m,(2.0),"17' 8"""
Natalie,Block,44 Farms Team Invitational,"Apr  8- 9, 2022",JT,23.37m,,"76' 8"""
Natalie,Block,44 Farms Team Invitational,"Apr  8- 9, 2022",800,2:21.33,,
Natalie,Block,Redbird Invite,"Apr  1- 2, 2022",100H,13.98,(2.2),
Natalie,Block,Redbird Invite,"Apr  1- 2, 2022",400H,1:01.25,,
Natalie,Block,Redbird Invite,"Apr  1- 2, 2022",JT,16.75m,,"54' 11"""
Natalie,Block,Horizon League Indoor Track & Field Championships,"Feb 26-27, 2022",400,55.78,,
Natalie,Block,Horizon League Indoor Track & Field Championships,"Feb 26-27, 2022",400,56.12,,
Natalie,Block,Horizon League Indoor Track & Field Championships,"Feb 26-27, 2022",60H,8.52,,
Natalie,Block,Horizon League Indoor Track & Field Championships,"Feb 26-27, 2022",60H,8.49,,
Natalie,Block,Horizon League Indoor Track & Field Championships,"Feb 26-27, 2022",Pent,3722,,
Natalie,Block,Horizon League Indoor Track & Field Championships,"Feb 26-27, 2022",60H,8.50,,
Natalie,Block,Horizon League Indoor Track & Field Championships,"Feb 26-27, 2022",HJ,1.62m,,"5' 3.75"""
Natalie,Block,Horizon League Indoor Track & Field Championships,"Feb 26-27, 2022",SP,9.93m,,"32' 7"""
Natalie,Block,Horizon League Indoor Track & Field Championships,"Feb 26-27, 2022",LJ,5.40m,,"17' 8.75"""
Natalie,Block,Horizon League Indoor Track & Field Championships,"Feb 26-27, 2022",800,2:25.56,,
Natalie,Block,St. Valentines Open,"Feb 18, 2022",60H,8.53,,
Natalie,Block,St. Valentines Open,"Feb 18, 2022",60H,8.61,,
Natalie,Block,St. Valentines Open,"Feb 18, 2022",LJ,5.55m,,"18' 2.5"""
Natalie,Block,2022 Hoosier Hills,"Feb 11, 2022",200,24.73,,
Natalie,Block,2022 Hoosier Hills,"Feb 11, 2022",60H,8.40,,
Natalie,Block,2022 Hoosier Hills,"Feb 11, 2022",60H,8.55,,
Natalie,Block,2022 Hoosier Hills,"Feb 11, 2022",HJ,NH,,NH
Natalie,Block,Red Hawk Invite,"Feb  5, 2022",400,56.60,,
Natalie,Block,Red Hawk Invite,"Feb  5, 2022",60H,8.52,,
Natalie,Block,Red Hawk Invite,"Feb  5, 2022",HJ,1.61m,,"5' 3.25"""
Natalie,Block,John Tierney Classic,"Jan 29, 2022",60H,8.42,,
Natalie,Block,John Tierney Classic,"Jan 29, 2022",60H,8.56,,
Natalie,Block,John Tierney Classic,"Jan 29, 2022",4x400,3:58.17,,
Natalie,Block,John Tierney Classic,"Jan 29, 2022",LJ,5.54m,,"18' 2.25"""
Natalie,Block,John Tierney Classic,"Jan 29, 2022",SP,9.78m,,"32' 1"""
Natalie,Block,John Gartland Invitational,"Jan 21-22, 2022",60H,8.53,,
Natalie,Block,John Gartland Invitational,"Jan 21-22, 2022",60H,8.67,,
Natalie,Block,John Gartland Invitational,"Jan 21-22, 2022",Pent,3763,,
Natalie,Block,John Gartland Invitational,"Jan 21-22, 2022",60H,8.56,,
Natalie,Block,John Gartland Invitational,"Jan 21-22, 2022",HJ,1.56m,,"5' 1.25"""
Natalie,Block,John Gartland Invitational,"Jan 21-22, 2022",SP,9.96m,,"32' 8.25"""
Natalie,Block,John Gartland Invitational,"Jan 21-22, 2022",LJ,5.65m,,"18' 6.5"""
Natalie,Block,John Gartland Invitational,"Jan 21-22, 2022",800,2:21.85,,
Natalie,Block,Hawkeye Invite,"Jan 14-15, 2022",200,24.93,,
Natalie,Block,Hawkeye Invite,"Jan 14-15, 2022",60H,8.52,,
Natalie,Block,Hawkeye Invite,"Jan 14-15, 2022",60H,8.61,,
Natalie,Block,Hawkeye Invite,"Jan 14-15, 2022",LJ,5.31m,,"17' 5.25"""
Natalie,Block,NCAA Division I West Preliminary Round,"May 26-29, 2021",400H,1:00.17,,
Natalie,Block,John Kruchoski Open,"May 15, 2021",400H,1:00.01,,
Natalie,Block,Horizon League Outdoor Track & Field Championships,"May  7- 9, 2021",100H,14.04,(1.2),
Natalie,Block,Horizon League Outdoor Track & Field Championships,"May  7- 9, 2021",400H,1:01.11,,
Natalie,Block,Horizon League Outdoor Track & Field Championships,"May  7- 9, 2021",4x400,3:59.43,,
Natalie,Block,Horizon League Outdoor Track & Field Championships,"May  7- 9, 2021",Hep,4417,,
Natalie,Block,Horizon League Outdoor Track & Field Championships,"May  7- 9, 2021",100H,14.17,(3.3),
Natalie,Block,Horizon League Outdoor Track & Field Championships,"May  7- 9, 2021",HJ,1.40m,,"4' 7"""
Natalie,Block,Horizon League Outdoor Track & Field Championships,"May  7- 9, 2021",SP,8.83m,,"28' 11.75"""
Natalie,Block,Horizon League Outdoor Track & Field Championships,"May  7- 9, 2021",200,24.61,(1.5),
Natalie,Block,Horizon League Outdoor Track & Field Championships,"May  7- 9, 2021",LJ,5.16m,(2.5),"16' 11.25"""
Natalie,Block,Horizon League Outdoor Track & Field Championships,"May  7- 9, 2021",JT,19.35m,,"63' 6"""
Natalie,Block,Horizon League Outdoor Track & Field Championships,"May  7- 9, 2021",800,2:29.84,,
Natalie,Block,Valpo Invitational,"May  1, 2021",400,56.00,,
Natalie,Block,Valpo Invitational,"May  1, 2021",100H,14.39,(2.0),
Natalie,Block,Clark Wood Invitational,"Apr 23-24, 2021",100H,15.51,(0.4),
Natalie,Block,Clark Wood Invitational,"Apr 23-24, 2021",400H,1:02.46,,
Natalie,Block,Clark Wood Invitational,"Apr 23-24, 2021",JT,21.59m,,"70' 10"""
Natalie,Block,Gibson Invitational Heptathlon & Decathlon,"Apr 15-16, 2021",Hep,4389,,
Natalie,Block,Gibson Invitational Heptathlon & Decathlon,"Apr 15-16, 2021",100H,15.09,(1.6),
Natalie,Block,Gibson Invitational Heptathlon & Decathlon,"Apr 15-16, 2021",HJ,1.43m,,"4' 8.25"""
Natalie,Block,Gibson Invitational Heptathlon & Decathlon,"Apr 15-16, 2021",SP,9.18m,,"30' 1.5"""
Natalie,Block,Gibson Invitational Heptathlon & Decathlon,"Apr 15-16, 2021",200,25.15,(2.9),
Natalie,Block,Gibson Invitational Heptathlon & Decathlon,"Apr 15-16, 2021",LJ,5.00m,(+0.0),"16' 5"""
Natalie,Block,Gibson Invitational Heptathlon & Decathlon,"Apr 15-16, 2021",JT,23.81m,,"78' 1"""
Natalie,Block,Gibson Invitational Heptathlon & Decathlon,"Apr 15-16, 2021",800,2:25.78,,
Natalie,Block,Big Blue Classic,"Apr  9-10, 2021",200,24.99,(0.8),
Natalie,Block,Big Blue Classic,"Apr  9-10, 2021",100H,14.88,(1.0),
Natalie,Block,Big Blue Classic,"Apr  9-10, 2021",LJ,5.13m,,"16' 10"""
Natalie,Block,Illinois State Redbird Invitational,"Apr  2, 2021",100H,14.75,(3.2),
Natalie,Block,Illinois State Redbird Invitational,"Apr  2, 2021",400H,1:02.23,,
Natalie,Block,Illinois State Redbird Invitational,"Apr  2, 2021",JT,20.01m,,"65' 8"""
Natalie,Block,Horizon League Indoor Track & Field Championships,"Feb 26-Mar  1, 2021",200,25.47,,
Natalie,Block,Horizon League Indoor Track & Field Championships,"Feb 26-Mar  1, 2021",200,25.81,,
Natalie,Block,Horizon League Indoor Track & Field Championships,"Feb 26-Mar  1, 2021",4x400,3:59.75,,
Natalie,Block,Horizon League Indoor Track & Field Championships,"Feb 26-Mar  1, 2021",Pent,3143,,
Natalie,Block,Horizon League Indoor Track & Field Championships,"Feb 26-Mar  1, 2021",60H,9.72,,
Natalie,Block,Horizon League Indoor Track & Field Championships,"Feb 26-Mar  1, 2021",HJ,1.48m,,"4' 10.25"""
Natalie,Block,Horizon League Indoor Track & Field Championships,"Feb 26-Mar  1, 2021",SP,9.26m,,"30' 4.75"""
Natalie,Block,Horizon League Indoor Track & Field Championships,"Feb 26-Mar  1, 2021",LJ,5.20m,,"17' 0.75"""
Natalie,Block,Horizon League Indoor Track & Field Championships,"Feb 26-Mar  1, 2021",800,2:30.70,,
Natalie,Block,UW-Parkside Triangular,"Feb 19-20, 2021",200,25.64,,
Natalie,Block,UW-Parkside Triangular,"Feb 19-20, 2021",55H,8.44,,
Nevia,Levenhagen,Raleigh Relays,"Mar 26-28, 2026",LJ,5.72m,(0.6),"18' 9.25"""
Nevia,Levenhagen,Raleigh Relays,"Mar 26-28, 2026",TJ,FOUL,,NM
Nevia,Levenhagen,2026 Horizon League Indoor Track & Field Championship,"Feb 28-Mar  1, 2026",LJ,5.85m,,"19' 2.5"""
Nevia,Levenhagen,2026 Horizon League Indoor Track & Field Championship,"Feb 28-Mar  1, 2026",TJ,11.39m,,"37' 4.5"""
Nevia,Levenhagen,Panther Tune-up,"Feb 21, 2026",LJ,5.86m,,"19' 2.75"""
Nevia,Levenhagen,Panther Tune-up,"Feb 21, 2026",TJ,11.72m,,"38' 5.5"""
Nevia,Levenhagen,2026 Blue Demon Alumni Classic,"Feb 13, 2026",LJ,6.18m,,"20' 3.5"""
Nevia,Levenhagen,2026 Blue Demon Alumni Classic,"Feb 13, 2026",TJ,11.64m,,"38' 2.25"""
Nevia,Levenhagen,Iowa State Classic,"Feb  6, 2026",LJ,5.30m,,"17' 4.75"""
Nevia,Levenhagen,Iowa State Classic,"Feb  6, 2026",TJ,11.29m,,"37' 0.5"""
Nevia,Levenhagen,2026 Meyo Invitational (Notre Dame Indoor T&F),"Jan 30-31, 2026",60,DNS,,
Nevia,Levenhagen,2026 Meyo Invitational (Notre Dame Indoor T&F),"Jan 30-31, 2026",LJ,5.62m,(+0.0),"18' 5.25"""
Nevia,Levenhagen,Larry Wieczorek Invitational,"Jan 23-24, 2026",60,7.92,,
Nevia,Levenhagen,Larry Wieczorek Invitational,"Jan 23-24, 2026",LJ,5.66m,,"18' 7"""
Nevia,Levenhagen,Larry Wieczorek Invitational,"Jan 23-24, 2026",TJ,11.25m,,"36' 11"""
Nevia,Levenhagen,Tierney Classic,"Jan 18, 2026",60,7.91,,
Nevia,Levenhagen,Tierney Classic,"Jan 18, 2026",60,7.95,,
Nevia,Levenhagen,Tierney Classic,"Jan 18, 2026",LJ,5.84m,,"19' 2"""
Nevia,Levenhagen,Tierney Classic,"Jan 18, 2026",TJ,11.32m,,"37' 1.75"""
Nevia,Levenhagen,2025 Blue Demon Holiday Invite,"Dec 12, 2025",LJ,5.33m,,"17' 6"""
Hailey,Soriaga,Joyce Morton-Kief Invite,"Mar 27-28, 2026",PV,3.58m,,"11' 9"""
Hailey,Soriaga,2026 Horizon League Indoor Track & Field Championship,"Feb 28-Mar  1, 2026",PV,3.47m,,"11' 4.5"""
Hailey,Soriaga,Panther Tune-up,"Feb 21, 2026",PV,3.93m,,"12' 10.75"""
Hailey,Soriaga,UW-La Crosse Mark Guthrie Legacy Invitational,"Feb  7, 2026",PV,3.68m,,"12' 0.75"""
Hailey,Soriaga,2026 Meyo Invitational (Notre Dame Indoor T&F),"Jan 30-31, 2026",PV,NH,,
Hailey,Soriaga,Larry Wieczorek Invitational,"Jan 23-24, 2026",PV,3.75m,,"12' 3.5"""
Hailey,Soriaga,Tierney Classic,"Jan 18, 2026",PV,3.60m,,"11' 9.75"""
Hailey,Soriaga,Minnesota Open,"Jan 10, 2026",PV,3.71m,,"12' 2"""
Hailey,Soriaga,Horizon League Championship,"May  9-11, 2025",PV,3.51m,,"11' 6.25"""
Hailey,Soriaga,Badger Challenge,"May  2, 2025",PV,3.82m,,"12' 6.25"""
Hailey,Soriaga,Fighting Illini Twilight,"Apr 26, 2025",PV,3.67m,,"12' 0.5"""
Hailey,Soriaga,Gibson Invitational,"Apr 17-19, 2025",PV,3.60m,,"11' 9.75"""
