athlete_id,meet_name,meet_date,event,result_distance,result_time,wind
8,Gibson Invitational,2025-04-17,100H,,13.68,(0.1)
8,Duke Invitational,2025-04-10,400H,,57.84,
8,NCAA West First Round,2024-05-22,100H,,13.22,(2.5)
8,NCAA West First Round,2024-05-22,100H,,13.23,(1.0)
8,NCAA West First Round,2024-05-22,400H,,57.02,
8,NCAA West First Round,2024-05-22,400H,,57.90,
8,UW-La Crosse Eagle Open,2024-05-10,100H,,13.28,(1.2)
8,UW-La Crosse Eagle Open,2024-05-10,100H,,13.42,(-0.3)
8,2024 Horizon League Outdoor Track & Field Championship,2024-05-03,100H,,13.27,(2.4)
8,2024 Horizon League Outdoor Track & Field Championship,2024-05-03,100H,,13.38,(0.7)
8,2024 Horizon League Outdoor Track & Field Championship,2024-05-03,400H,,57.51,
8,2024 Horizon League Outdoor Track & Field Championship,2024-05-03,400H,,58.08,
8,Clark Wood Open 2024,2024-04-26,100H,,13.14,(2.4)
8,Clark Wood Open 2024,2024-04-26,100H,,13.33,(1.9)
8,Clark Wood Open 2024,2024-04-26,400H,,57.68,
8,Gibson Invitational,2024-04-18,100H,,13.44,(1.2)
8,Gibson Invitational,2024-04-18,400H,,58.34,
8,2024 Bryan Clay Invitational,2024-04-11,100H,,13.52,(-1.8)
8,2024 Bryan Clay Invitational,2024-04-11,400H,,58.67,
8,Golden Grizzly T&F Invite,2024-04-06,100H,,13.54,(2.6)
8,Golden Grizzly T&F Invite,2024-04-06,100H,,13.60,(2.3)
8,Golden Grizzly T&F Invite,2024-04-06,400H,,59.13,
8,Raleigh Relays,2024-03-28,100H,,13.29,(2.1)
8,Horizon League Indoor Track & Field Championship,2024-02-24,400,,55.08,
8,Horizon League Indoor Track & Field Championship,2024-02-24,400,,55.81,
8,Horizon League Indoor Track & Field Championship,2024-02-24,60H,,8.34,
8,Horizon League Indoor Track & Field Championship,2024-02-24,60H,,8.26,
8,Arkansas Qualifier,2024-02-16,60H,,8.27,
8,Arkansas Qualifier,2024-02-16,60H,,8.43,
8,GVSU Big Meet- (Friday),2024-02-09,400,,54.58,
8,GVSU Big Meet- (Friday),2024-02-09,60H,,8.22,
8,GVSU Big Meet- (Friday),2024-02-09,60H,,8.27,
8,Mark Guthrie Legacy Invite,2024-02-03,60H,,8.31,
8,Mark Guthrie Legacy Invite,2024-02-03,60H,,8.25,
8,Illini Challenge,2024-01-26,400,,55.95,
8,Illini Challenge,2024-01-26,60H,,8.29,
8,Illini Challenge,2024-01-26,60H,,8.32,
8,John Tierney Classic,2024-01-20,60H,,8.25,
8,John Tierney Classic,2024-01-20,60H,,8.29,
8,Badgers Midwest Invite,2024-01-13,300,,38.52,
8,Badgers Midwest Invite,2024-01-13,60H,,8.31,
8,Badgers Midwest Invite,2024-01-13,60H,,8.37,
8,Illini Open,2024-01-06,60H,,8.44,
8,2023 Blue Demon Holiday Invite,2023-12-08,200,,24.83,
8,2023 Blue Demon Holiday Invite,2023-12-08,60H,,8.46,
8,2023 Blue Demon Holiday Invite,2023-12-08,60H,,8.44,
8,2023 Horizon League Indoor Track & Field Championship,2023-02-25,400,,56.54,
8,2023 Horizon League Indoor Track & Field Championship,2023-02-25,400,,57.81,
8,2023 Horizon League Indoor Track & Field Championship,2023-02-25,60H,,8.33,
8,2023 Horizon League Indoor Track & Field Championship,2023-02-25,60H,,8.50,
8,2023 Horizon League Indoor Track & Field Championship,2023-02-25,4x400,,3:54.28,
8,2023 Horizon League Indoor Track & Field Championship,2023-02-25,LJ,5.44,,
8,2023 Horizon League Indoor Track & Field Championship,2023-02-25,Pent,,3669,
8,2023 Horizon League Indoor Track & Field Championship,2023-02-25,60H,,8.55,
8,2023 Horizon League Indoor Track & Field Championship,2023-02-25,HJ,1.53,,
